#full_name,a,e,i,om,w,q,ad,per_y,data_arc,condition_code,n_obs_used,n_del_obs_used,n_dop_obs_used,H,rot_per
"       (2013 HK11)",2.189228920834448,.9363966904206962,17.7042863409063,73.55846989585496,281.7465343619895,.1392422047917986,4.239215636877097,3.23925372906896,6,9,22,,,20.7,
"       (2013 HL11)",1.361866317327542,.2277236833627192,32.67478842562199,31.97150488926322,244.6277791234585,1.051737103298092,1.671995531356991,1.58931477331388,20,8,30,,,23.3,
"       (2013 HM11)",.8948552873438801,.3698890952564663,29.00541558263916,32.0267696995829,333.3870344882089,.563858074722787,1.225852499964973,0.846520373781869,21,7,47,,,23.1,
"       (2013 HN11)",2.400504926511486,.5223277645850825,6.320950202077807,59.59827728346223,144.0851073086662,1.146654554371264,3.654355298651709,3.71930766095814,42,7,59,,,22.0,
"       (2013 HO11)",1.194492811826331,.2341349078993278,3.718509620552467,59.05128240456331,245.907842229352,.9148203473429637,1.474165276309698,1.30551995121109,267,5,84,,,23.0,
"       (2013 HP11)",1.184591756919047,.1253227657685274,4.155849152660408,208.655910213244,9.491440274757053,1.036135441635353,1.333048072202741,1.28932160939955,56,5,88,,,25.4,
"       (2013 HR11)",2.003572023005216,.3587893467599917,6.718271949769566,116.1901387593663,6.01211859904447,1.28471172568458,2.722432320325852,2.83606147465501,1652,2,49,,,19.9,
"       (2013 HS11)",1.363399846541129,.4426921485409044,7.856913927862478,195.6180941496892,284.2636200072105,.7598334391554969,1.96696625392676,1.59200000011688,31,6,44,,,22.7,
"       (2013 HT14)",2.096407687323757,.7194388645694978,5.795837421485456,30.79743331660832,87.6952983504091,.5881705210807865,3.604644853566727,3.03544115165051,16,8,24,,,26.3,
"       (2013 HU14)",1.296182360809994,.198032322294819,15.11485940757029,32.82071605751612,164.4363278654781,1.03949635778121,1.552868363838779,1.47573155186845,17,7,52,,,24.2,
"       (2013 HV14)",2.226045223327055,.4348061943370276,27.27865267927086,26.58859861749126,207.7436641245814,1.258146971350099,3.19394347530401,3.32130819288988,44,6,49,,,21.1,
"       (2013 HT15)",1.100848024173892,.42292421099139,2.921201227124559,23.46121582017697,315.697546067128,.6352727421287184,1.566423306219067,1.15504592743364,3229,0,74,3,2,21.8,
"       (2013 HG19)",1.510057555182714,.2909986693419864,12.64094086360807,217.2285644460355,2.512595221668438,1.070632815994731,1.949482294370698,1.85566019977197,14,7,41,,,25.4,
"       (2013 HH19)",2.441939166510514,.5699593613735068,18.71058408217941,39.59167834648412,180.5097466449624,1.050133078653228,3.833745254367801,3.81601842706135,5,7,38,,,24.8,
"       (2013 HJ19)",2.072167377138805,.4729958180548429,27.22401338670529,46.19816179944089,126.7797674696016,1.092040873442478,3.052293880835133,2.98294640577898,1096,0,85,,,21.5,
"       (2013 HG20)",2.169496899585108,.5746610791880636,4.174177479506135,203.8110527715443,88.98948227813138,.9227714699743715,3.416222329195844,3.19555835690286,183,3,209,0,1,21.0,
"       (2013 HT25)",2.232297493939267,.8577083388121521,4.06729479663631,28.48100036164129,61.26622915355262,.3176373186780881,4.146957669200447,3.33531080053279,1,8,10,,,28.8,
"       (2013 HT150)",1.568514755864564,.5394845287407571,2.785410427128873,27.29886587545236,75.84288235296462,.7223253119740459,2.414704199755082,1.96445061454842,2005,3,47,,,24.4,
"       (2013 HU150)",2.511874846385492,.4956887487038694,7.60168080791271,25.52701085217933,276.2962359216633,1.266766746879943,3.756982945891041,3.98111935213187,3,9,12,,,21.502,
"       (2013 HN158)",3.387248276989426,.6278963255623911,7.579092352752185,29.4998253858482,164.576484662966,1.260407530100225,5.514089023878626,6.23417153815172,2,9,11,,,24.533,
