ILDIALCT,ilab_v1,FITS/CSV file dialect
235.200,6.934648e-05,6.700310e-05
235.400,6.468093e-05,6.639416e-05
235.600,6.695357e-05,6.579462e-05
235.800,6.498067e-05,6.530437e-05
236.000,6.176092e-05,6.497650e-05
236.200,6.299947e-05,6.480859e-05
236.400,6.696746e-05,6.474203e-05
236.600,6.318276e-05,6.468758e-05
236.800,6.722530e-05,6.454865e-05
237.000,6.580715e-05,6.426302e-05
237.200,6.576764e-05,6.382397e-05
237.400,6.088464e-05,6.327901e-05
237.600,6.047271e-05,6.271152e-05
237.800,6.022179e-05,6.220787e-05
238.000,6.039249e-05,6.183361e-05
238.200,6.401729e-05,6.160893e-05
238.400,6.130893e-05,6.150971e-05
238.600,6.466019e-05,6.148557e-05
238.800,5.902256e-05,6.147586e-05
239.000,6.008996e-05,6.143188e-05
239.200,5.864370e-05,6.132512e-05
239.400,6.701336e-05,6.114607e-05
239.600,6.153735e-05,6.089947e-05
239.800,5.921729e-05,6.059751e-05
240.000,5.521873e-05,6.024931e-05
240.200,6.140972e-05,5.986726e-05
240.400,6.190689e-05,5.946641e-05
240.600,5.930441e-05,5.906630e-05
240.800,5.785394e-05,5.869490e-05
241.000,5.745034e-05,5.838446e-05
241.200,5.770232e-05,5.815982e-05
241.400,5.668019e-05,5.802838e-05
241.600,5.824668e-05,5.797003e-05
241.800,5.730752e-05,5.794178e-05
242.000,5.877049e-05,5.789235e-05
242.200,5.982466e-05,5.777634e-05
242.400,5.872676e-05,5.757689e-05
242.600,5.768287e-05,5.730782e-05
242.800,5.342207e-05,5.701136e-05
243.000,5.316753e-05,5.673641e-05
243.200,5.974261e-05,5.651680e-05
243.400,5.662415e-05,5.635383e-05
243.600,5.682632e-05,5.622777e-05
243.800,5.622882e-05,5.609516e-05
244.000,5.377481e-05,5.590141e-05
244.200,5.765242e-05,5.560070e-05
244.400,5.307654e-05,5.517195e-05
244.600,5.514306e-05,5.462629e-05
244.800,5.625476e-05,5.401186e-05
245.000,5.375344e-05,5.340698e-05
245.200,5.230142e-05,5.289483e-05
245.400,4.974558e-05,5.254580e-05
245.600,4.532494e-05,5.238965e-05
245.800,5.425394e-05,5.240610e-05
246.000,6.147657e-05,5.253070e-05
246.200,5.051503e-05,5.267816e-05
246.400,5.128901e-05,5.277197e-05
246.600,5.373267e-05,5.276724e-05
246.800,5.202982e-05,5.265037e-05
247.000,5.056620e-05,5.243435e-05
247.200,5.366988e-05,5.214484e-05
247.400,5.120124e-05,5.180065e-05
247.600,5.046481e-05,5.141599e-05
247.800,5.487899e-05,5.100562e-05
248.000,4.814745e-05,5.059972e-05
248.200,4.958809e-05,5.024477e-05
248.400,4.890320e-05,4.999947e-05
248.600,5.115365e-05,4.991743e-05
248.800,4.864663e-05,5.002441e-05
249.000,4.823412e-05,5.030186e-05
249.200,5.090304e-05,5.068741e-05
249.400,5.440372e-05,5.108576e-05
249.600,5.337294e-05,5.138630e-05
249.800,4.783026e-05,5.150200e-05
250.000,5.322448e-05,5.139187e-05
250.200,5.435619e-05,5.107898e-05
250.400,4.993546e-05,5.064591e-05
250.600,4.747412e-05,5.021026e-05
250.800,4.962905e-05,4.989051e-05
251.000,4.703694e-05,4.976337e-05
251.200,4.883345e-05,4.984933e-05
251.400,5.125732e-05,5.009973e-05
251.600,5.140408e-05,5.042484e-05
251.800,5.398690e-05,5.072719e-05
252.000,5.219042e-05,5.093918e-05
252.200,4.914639e-05,5.103899e-05
252.400,4.881066e-05,5.104917e-05
252.600,5.357362e-05,5.101278e-05
252.800,4.878071e-05,5.096268e-05
253.000,4.851530e-05,5.089688e-05
253.200,5.303041e-05,5.077677e-05
253.400,4.974350e-05,5.055326e-05
253.600,5.603955e-05,5.019151e-05
253.800,4.777117e-05,4.969574e-05
254.000,4.798923e-05,4.911877e-05
254.200,4.633542e-05,4.854369e-05
254.400,4.624211e-05,4.805644e-05
254.600,4.688489e-05,4.771534e-05
254.800,4.897294e-05,4.754171e-05
255.000,4.850683e-05,4.752078e-05
255.200,4.840803e-05,4.762475e-05
255.400,4.790037e-05,4.783168e-05
255.600,4.832556e-05,4.813312e-05
255.800,4.716830e-05,4.853184e-05
256.000,4.697434e-05,4.902293e-05
256.200,5.104066e-05,4.957146e-05
256.400,5.123217e-05,5.010803e-05
256.600,4.975945e-05,5.053886e-05
256.800,5.421982e-05,5.077204e-05
