    137 Meliboea          -          C      7G  C0 7I C   2I -      -   -   -   -   -   -   -   -   -  -                     
    138 Tolosa            -          S      2   -  -  -   -  S      65  -   -   -   -   -   -   -   -  -                     
    139 Juewa             -          CP     2G  -  -  -   -  -      -   -   -   X   s   -   -   -   -  -                     
    140 Siwa              -          P      2G  -  -  -   -  -      -   -   -   Xc  s   C   Cb  -   -  -                     
    141 Lumen             -          CPF    2G  -  -  -   -  -      -   -   -   Ch  s   Caa Ch  -   -  -                     
    142 Polana            -          F      7G  B1 7I F   2I -      -   -   -   B   s   -   -   -   -  -                     
    143 Adria             -          C      2   -  -  -   -  -      -   -   -   Xc  s   -   -   -   -  -                     
    144 Vibilia           -          C      7G  C0 7I C   2I -      -   -   -   Ch  s   -   -   -   -  -                     
    145 Adeona            -          C      7   C0 7I C   2I CvP    65  -   -   Ch  s   Caa Ch  -   -  -                     
    146 Lucina            -          C      7G  C0 7I C   2I -      -   -   -   Ch  s   -   -   -   -  -                     
    147 Protogeneia       -          C      7G  C0 7I C   2I -      -   -   -   C   s   -   -   C   a  -                     
    148 Gallia            -          GU     7   S1 7I r   2I -      -   -   -   S   s   S   Sl  -   -  -                     
    149 Medusa            -          S      2   -  -  -   -  -      -   -   -   -   -   -   -   -   -  -                     
    150 Nuwa              -          CX     2   -  -  -   -  -      -   -   -   Cb  s   -   -   C   a  -                     
    151 Abundantia        -          S      2G  -  -  -   -  -      -   -   -   Sl  s   -   -   Sw  a  -                     
    152 Atala             -          I      7   -  -  -   -  D(S)   65  -   -   S   s   -   -   -   -  ECAS misidentified?   
    153 Hilda             -          P      7G  C0 7I C   2I P      65  -   -   X   s   -   -   X   a  -                     
    154 Bertha            -          -      -   -  -  -   -  -      -   -   -   C   s   C   Cb  -   -  -                     
    155 Scylla            -          XFC    2   -  -  -   -  -      -   -   -   -   -   -   -   -   -  -                     
    156 Xanthippe         -          C      7   C0 7I C   2I -      -   -   -   Ch  s   Caa Ch  -   -  -                     
    157 Dejanira          -          -      -   -  -  -   -  -      -   C   s   -   -   -   -   -   -  -                     
    158 Koronis           -          S      7G  S0 7I S   2I -      -   -   -   S   s   -   -   S   a  -                     
    159 Aemilia           -          C      7G  C0 7I C   2I -      -   -   -   Ch  s   -   -   -   -  -                     
    160 Una               -          CX     2   -  -  -   -  -      -   -   -   C   s   -   -   Xk  a  -                     
    161 Athor             -          M      7G  M0 7I M   2I -      -   -   -   Xc  s   -   -   -   -  -                     
